Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
"Amato Law Group, PLLC",Consulting Services,"Consents and Permitting,Due Diligence,Environmental Consulting,Feasibility Studies,Other Consulting,Siting and Planning,Strategic Advisory,Verification and Compliance",www.amatolawgroup.com,USA,New York,Garden City,"666 Old Country Road, 9th Floor",,11530,Alfred L.,Amato,aamato@amatofirm.com,"Amato Law Group, PLLC has provided 25 years of comprehensive commercial real estate services, including leasing, zoning, environmental and litigation, for our public- and private-sector clients who build essential infrastructure and provide key services to the New York metropolitan region. We are grateful to assist our telecommunications, housing, hospital, renewable energy, convenience store, restaurant, and developer clients, with their real estate-related issues so they may serve our local communities.",No,POINT (-73.61334 40.7425)
AMC Construction & Management,Manufacturing and Fabrication Srvcs.,Carpenter,www.linkedin.com/company/amc-construction-management-corp,USA,New York,Albany,4 Norman Drive,,12205,Mike,Muscolino,mmuscolino@amcontracting.com,"AMC Construction & Management Corp. is a Commercial Contractor with roots in light gauge metal framing, drywall and acoustic and specializes in high-profile, complex and one of a kind construction projects. We range from the Albany area, south to Kingston and west to Syracuse.",No,POINT (-73.85411 42.72201)
AMC Construction & Management,Onshore Construction Services,Manufacturing Plant Construction,www.linkedin.com/company/amc-construction-management-corp,USA,New York,Albany,4 Norman Drive,,12205,Mike,Muscolino,mmuscolino@amcontracting.com,"AMC Construction & Management Corp. is a Commercial Contractor with roots in light gauge metal framing, drywall and acoustic and specializes in high-profile, complex and one of a kind construction projects. We range from the Albany area, south to Kingston and west to Syracuse.",No,POINT (-73.85411 42.72201)
American Alloy Steel Inc.,Other Organizations,"Providing steel plate products for the manufacturing services, fabrication services, & vessels.",www.aasteel.com,USA,New York,Rome,650 Harbor Way,,13440,David,Misiaszek,Davidmk@aasteel.com,"American Alloy Steel (AAS) was the first service center to stock Pressure Vessel Quality (PVQ) carbon and alloy steel plate.  In placing the customer's needs first coupled with a consistent quality product including 100% traceability on all Mill Test Reports to each item of inventory, AAS grew.  Currently AAS has 6 stocking locations across the United States & Canada totaling over 500,000 sq ft of warehouse space on roughly 50 acres.  To accommodate a worldwide market demand, AAS has expanded physical coverage in the Caribbean, Mexico, Central and South America.  Growing from not more than a dozen employees to over 200 today, AAS is a leading service center that supports a divergent group of industries including refining / energy, power / utility, mining / aggregate, offshore / drilling, shipbuilding / vessel repair, and many other related industries.",No,POINT (-75.44559 43.20458)
American Jewish Committee,Other Organizations,Non-Government Organization (NGO),www.ajc.org,USA,New York,New York,165 E 56th Street,,10022,,,,"AJC is the leading global Jewish advocacy organization, with unparalleled access to government officials, diplomats, and other world leaders. Through these relationships and our international presence, AJC is able to impact opinion and policy on the issues that matter most: combating rising anti-Semitism and extremism, defending Israel’s place in the world, and safeguarding the rights and freedoms of all people.",,POINT (-73.96833 40.75972)
American Mobile Home Leasing Co. Inc.,Other Organizations,On-site temporary housing for workforce,www.americanmobilehome.com,USA,NY,SPEONK,1324 SPEONK RIVERHEAD RD,,11972,Joe,Donaghy,jd@americanmobilehome.com,"American Mobile Home Leasing Company Inc. is an on-site temporary housing provider.  Through our inventory of manufactured homes (aka mobile homes), we provide affordable temporary housing accommodations to individuals as well as commercial worksites.  
All of our homes are HUD certified, as well as manufactured specifically for the Northeast in regards to wind zone, snow load and insulation. 
2 and 3 bedroom floorplans are available for immediate delivery to your site.",No,POINT (-72.69656 40.84196)
American Mobile Home Leasing Co. Inc.,Specialist Services,"Other Logistics Services,Other Specialist Services",www.americanmobilehome.com,USA,NY,SPEONK,1324 SPEONK RIVERHEAD RD,,11972,Joe,Donaghy,jd@americanmobilehome.com,"American Mobile Home Leasing Company Inc. is an on-site temporary housing provider.  Through our inventory of manufactured homes (aka mobile homes), we provide affordable temporary housing accommodations to individuals as well as commercial worksites.  
All of our homes are HUD certified, as well as manufactured specifically for the Northeast in regards to wind zone, snow load and insulation. 
2 and 3 bedroom floorplans are available for immediate delivery to your site.",No,POINT (-72.69656 40.84196)
American Society of Mechanical Engineers,Other Organizations,Non-Government Organization (NGO); Labor-related Operations,www.asme.org,USA,New York,New York,Two Park Avenue,,10016,Luis,Pulgarin,,"ASME is a not-for-profit membership organization that enables collaboration, knowledge sharing, career enrichment, and skills development across all engineering disciplines, toward a goal of helping the global engineering community develop solutions to benefit lives and livelihoods. Founded in 1880 by a small group of leading industrialists, ASME has grown through the decades to include more than 130,000 members in 151 countries. Thirty-two thousnd of these members are students.",,POINT (-73.98213 40.74611)
Americraft Marine Group,,"Barge Supply,Other Support Vessel Supply,Vessel Crew Supply,Vessel Equipment Supply,Vessel Support Services,Vessel Survey and Inspection",Americraft Marine Group.com,USA,New York,New York,134 40th Street,,10016,Omear,Khalid,Omear.Khalid@americraftmarinegroup.com,Crew transfer vessels,No,POINT (-73.97655 40.74997)
Americraft Marine Group,Onshore Construction Services,Marine Terminal Construction,Americraft Marine Group.com,USA,New York,New York,134 40th Street,,10016,Omear,Khalid,Omear.Khalid@americraftmarinegroup.com,Crew transfer vessels,No,POINT (-73.97655 40.74997)
Anchor Glass Container Corp.,Manufactured Products,Other Manufactured Products,www.anchorglass.com/,USA,New York,Elmira Heights,151 E. McCann's Boulevard,,14903,,,,"Florida-based glass container manufacturer for food/drink, owned by BA Glass B.V.",,POINT (-76.81965 42.1203)
"Anchor QEA, LLC",Consulting Services,"Engineering (Environmental),Environmental Consulting,Other Renewable Energy Consulting,Regulatory Consulting",anchorqea.com,USA,New York,Saratoga Springs,"68 Excelsior Avenue, Suite 101",,12866,Ryan,Davis,rdavis@anchorqea.com,"Anchor QEA provides a full range of science and engineering services for public agencies and private industry. We improve the environment and our communities by solving challenging problems together, with integrity and vibe. Our core values of safety, service, initiative, vibe, quality, and integrity are the foundation of our work.

Our commitment to these core values and our desire to stay connected to projects and clients is what sets Anchor QEA apart.  Our collective enthusiasm for creativity and our dedication to superior quality defines our success today and prepares us for the future. We are free to innovate while building strong relationships with coworkers and clients. We are dedicated to serving our client's needs and the professional and personal development of all our people.",No,POINT (-73.77296 43.08987)
"Anderson Precision, Inc.",Manufactured Products,"Anodes,Electro-mechanical Products,Other Manufactured Products,Power Cables and Fittings",www.andersonprecision.com,USA,New York,Jamestown,20 Livingston Avenue,,14701,Jacob,Hirshman,jhirschman@andersonprecision.com,"Anderson was founded in 1891 as a machine repair company when most Americans traveled by foot or horseback. Anderson Precision continues to be an industry leader with data-driven, Advanced Quality Systems that add dramatically greater value to each precision part we make for our clients.
Every day, our team strives to go beyond the part through: Investing in additional equipment capacity to meet a resurging North American automotive market; Adding new 100% Optical Inspection Area; Adding new process control and monitoring software on the plant floor; Achieving TS16949 certification; Investing in state of the art cleaning requirements; Earning business in high-volume automotive applications; Meeting and embracing the challenge of supporting customer efforts to re-shore parts to North America.",,POINT (-79.25776 42.09887)
Anixter,Consulting Services,Logistics Planning & Management,www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anixter,Manufactured Products,"Anodes,Back-up Power and UPS,Battery Energy Storage Systems,Communications Systems,Electro-mechanical Products,Electronics Products,Fibre Optic Cables,Fire Detection & Supression,Gearboxes,Generators,Internal Cabling,Lighting,Low-voltage Electrical Components,Metal or GRP Enclosures,Monitoring Equipment,Personal Protective Equipment (PPE),Power Cables and Fittings,SCADA and Control Systems,Security Systems,Sensor Systems,Signage,Steel Structures,Switchgear,Transformers",www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anixter,Manufacturing and Fabrication Srvcs.,Electricals,www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anixter,Onshore Construction Services,Project Management (Construction),www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anixter,Other Organizations,Materials management.  On-site or in our facility.,www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anixter,Specialist Services,"Other Fabrication,Project Management Services,Supply Chain Management",www.anixter.com,USA,New York,Rochester,250 Mile Crossing Blvd # 3&4,,14624,Cody,Travis,cody.travis@anixter.com,"Wesco/ Anixter is worlds largest electrical and electronics distributor.  Our team focuses on large complex capital projects to sell, service and manage electrical products and equipment.  We have specialty in utility and other industrial electrical products.  HV,MV,LV cable, conduit, cable tray, lights, gear, transformers, fiber optics, cctv, security and networking equipment.",No,POINT (-77.72738 43.14994)
Anjo Construction Ltd.,Onshore Construction Services,Civil Construction,www.anjoconst.com/Anjo/about.php,USA,New York,Latham,794 Watervliet Shaker Road,,12110,,,,"Anjo Construction Ltd. is a civil construction contractor providing bid/build, design/build and construction management services to homeowners, developers, general contractors, municipalities, utility authorities and Departments of Transportation. Utilities work relates to water lines, sewers and drainage.",,POINT (-73.79761 42.7392)
Anker's Electric Service Inc.,Onshore Construction Services,Electrical Works (Electrician),Not provided,USA,New York,Locust Valley,10 South Fifth Street,,11560,,,,Anker's Electric Service Inc. is a local electrical contractor.,,POINT (-73.60243 40.87513)
anschel technology inc.,Manufactured Products,"Electro-mechanical Products,Electronics Products,Internal Cabling,Lighting,Low-voltage Electrical Components,Power Cables and Fittings",https://anscheltechnology.com/,USA,New York,Rocky Point,1 Wildwood Rd,,11778,david,anschel,da@anscheltechnology.com,My company has expertise in electronic and cable manufacturing.,No,POINT (-72.94906 40.96434)
anschel technology inc.,Manufacturing and Fabrication Srvcs.,"Cable Assembly,Electricals",https://anscheltechnology.com/,USA,New York,Rocky Point,1 Wildwood Rd,,11778,david,anschel,da@anscheltechnology.com,My company has expertise in electronic and cable manufacturing.,No,POINT (-72.94906 40.96434)
APC Paper Company of NY Inc.,Manufactured Products,Other Manufactured Products,www.apcpaper.com/,USA,New York,Norfolk,100 Remington Avenue,,13667,,,,APC Paper Company of NY manufactures recycled paper products.,,POINT (-74.99543 44.80609)
APEM Limited,Other Organizations,Not Provided,www.apemltd.co.uk,UK,England,Stockport,A17 Embankment Business Park,,SK4 3GN,Andreea,Botea,tenders@apemltd.co.uk,"APEM is the largest aquatic science consultancy in the UK, recently celebrating its 30th year of operation in the disciplines of monitoring, and managing aquatic environments. We employ about 130 staff in our offices in Stockport, Oxford, Edinburgh, Cambridge, Cardiff, Chester and Letchworth, with capabilities featuring dedicated field teams, biological laboratories, cutting edge remote sensing capabilities and consultants specialising in the spectrum of aquatic fields within our overall aquatic focus. Our expertise covers all environments from source to sea: upland rivers, lakes, lowland river systems wetlands, estuaries, coastal environments and the open ocean.",,
APX,Consulting Services,Asset Management,www.apx.com,USA,New York,New York,5 Penn Plaza,Suite 1919,10001,Devon,Walton,,"At APX, we track and manage more environmental assets than any other infrastructure provider in the world. With more than 2 billion certificates under management and 1,300 global firms as account holders, our clients are free to focus their attention on the strategically important aspects of their business, while we handle operational details on their behalf.",,POINT (-73.99365 40.75194)
Arcadis,Consulting Services,Project Management; Financial Consulting; Business Advisory; Asset Management; Environmental Consulting; Engineering (Civil); Engineering (Structural); Engineering (Electrical); Engineering (Mechanical); Engineering (Environmental),www.arcadis.com/en/global/,USA,New York,White Plains,44 South Broadway,9th Floor,10601,Jacob,Froling,,"Arcadis is a global design & consultancy firm offering design, consultancy, engineering, project and management services.",,POINT (-73.76166 41.03058)
Arch Street Communications,Consulting Services,Not Provided,www.asc-pr.com,USA,New York,White Plains,31 Mamaroneck Ave. Ste. 400,,10601,Nora,Madonick,nmadonick@asc-pr.com,"Arch Street Communications (ASC) delivers strategic solutions that move infrastructure projects and major initiatives. We engage markets to communicate about issues that matter to Americans in a changing world: energy, transportation, safety, jobs, and the environment. We have led public involvement for Article 10, Article VII, SEQR and NEPA projects. Our expertise includes working with Deepwater Wind.",Yes,POINT (-73.76628 41.03154)
Arcola Environmental LLC,Consulting Services,"Business Advisory,Consents and Permitting,Construction Support,Due Diligence,Engineering (Environmental),Environmental Consulting,Environmental Impact Assessment (EIA),Feasibility Studies,Other Consulting,Project Management,Regulatory Consulting,Siting and Planning,Stakeholder Engagement,Strategic Advisory,Verification and Compliance",www.ArcolaEnv.com,USA,New York,Walden,123 Kings Hill Road,,12586,Andrea,Gievers,Andrea@ArcolaEnv.com,"Arcola Environmental LLC is a NY-based, woman-owned business with extensive experience in NEPA, SEQR and CEQR environmental reviews.  Our NEPA services include: Environmental Impact Statements (EIS), Environmental Assessments (EA), Categorical Exclusions, Exemptions, and Programmatic ""Tiered"" Reviews; NEPA consultation support with federal, state, and local agencies; project and program management; template creation; contractor training; Quality Assurance / Quality Control reviews; and client management.",No,POINT (-74.13564 41.57273)
Arcola Environmental LLC,Other Organizations,Environmental,www.ArcolaEnv.com,USA,New York,Walden,123 Kings Hill Road,,12586,Andrea,Gievers,Andrea@ArcolaEnv.com,"Arcola Environmental LLC is a NY-based, woman-owned business with extensive experience in NEPA, SEQR and CEQR environmental reviews.  Our NEPA services include: Environmental Impact Statements (EIS), Environmental Assessments (EA), Categorical Exclusions, Exemptions, and Programmatic ""Tiered"" Reviews; NEPA consultation support with federal, state, and local agencies; project and program management; template creation; contractor training; Quality Assurance / Quality Control reviews; and client management.",No,POINT (-74.13564 41.57273)
Arcola Environmental LLC,Specialist Services,"Other Consulting,Other Specialist Services,Project Management Services",www.ArcolaEnv.com,USA,New York,Walden,123 Kings Hill Road,,12586,Andrea,Gievers,Andrea@ArcolaEnv.com,"Arcola Environmental LLC is a NY-based, woman-owned business with extensive experience in NEPA, SEQR and CEQR environmental reviews.  Our NEPA services include: Environmental Impact Statements (EIS), Environmental Assessments (EA), Categorical Exclusions, Exemptions, and Programmatic ""Tiered"" Reviews; NEPA consultation support with federal, state, and local agencies; project and program management; template creation; contractor training; Quality Assurance / Quality Control reviews; and client management.",No,POINT (-74.13564 41.57273)
ARCONIC Inc.,Manufacturing and Fabrication Srvcs.,Precision Manufacturing; Machining,www.arconic.com/global/en/home.asp,USA,New York,New York,390 Park Avenue,,10022,,,,"American worldwide manufacturer of high performance, engineered products and solutions for the aerospace, industrial gas turbine, commercial transportation and oil and gas markets.",,POINT (-73.97256 40.7593)
AREPA,Consulting Services,"O&M Consulting Services,Project Management,Risk Assessment,Technical Surveys (Analyse),Technical Surveys (Perform),Technical Testing and Validation,Verification and Compliance",www.arepa.com,USA,IL,"Deerfield, Chicargo","111 Deer Lake, Suite 100",,60015,Scott,Mabie,scott.mabie@arepa.com,"Cleaning and recovery services for Wind Turbines with technical consultancy and decontamination solutions. AREPA works globally in the total reconditioning of wind turbines following incidents such as:

- Fire, soot damage and corrosion
- Oil and coolant contamination from leaks and spills
- Flooding and seawater contamination
- Dust (related to breaks or environmental)
- Other forms of contamination, corrosion development or damage

AREPA offers a broad range of recovery services on technical installations as well, including:

- 24/7 response service
- Damage assessment (chemical analysis, recommendations, technical first-aid)
- Site preparation for technical reconditioning
- Reconditioning of technical equipment (mechanical, electrical and electronics)
- Both on-site/mobile facilities and workshop facilities
- Rope access
- Blade repair and inspection by rope access
- Project management",No,POINT (-87.84435 42.15531)
AREPA,Other Organizations,"'- Technical consultancy
- Cleanliness and contamination measuring
- Decontamination solutions",www.arepa.com,USA,IL,"Deerfield, Chicargo","111 Deer Lake, Suite 100",,60015,Scott,Mabie,scott.mabie@arepa.com,"Cleaning and recovery services for Wind Turbines with technical consultancy and decontamination solutions. AREPA works globally in the total reconditioning of wind turbines following incidents such as:

- Fire, soot damage and corrosion
- Oil and coolant contamination from leaks and spills
- Flooding and seawater contamination
- Dust (related to breaks or environmental)
- Other forms of contamination, corrosion development or damage

AREPA offers a broad range of recovery services on technical installations as well, including:

- 24/7 response service
- Damage assessment (chemical analysis, recommendations, technical first-aid)
- Site preparation for technical reconditioning
- Reconditioning of technical equipment (mechanical, electrical and electronics)
- Both on-site/mobile facilities and workshop facilities
- Rope access
- Blade repair and inspection by rope access
- Project management",No,POINT (-87.84435 42.15531)
AREPA,Specialist Services,"Cleaning and Maintenance,O&M Support Services,Specialist Technical Surveys,Technical Testing and Validation,Turbine Commissioning Services",www.arepa.com,USA,IL,"Deerfield, Chicargo","111 Deer Lake, Suite 100",,60015,Scott,Mabie,scott.mabie@arepa.com,"Cleaning and recovery services for Wind Turbines with technical consultancy and decontamination solutions. AREPA works globally in the total reconditioning of wind turbines following incidents such as:

- Fire, soot damage and corrosion
- Oil and coolant contamination from leaks and spills
- Flooding and seawater contamination
- Dust (related to breaks or environmental)
- Other forms of contamination, corrosion development or damage

AREPA offers a broad range of recovery services on technical installations as well, including:

- 24/7 response service
- Damage assessment (chemical analysis, recommendations, technical first-aid)
- Site preparation for technical reconditioning
- Reconditioning of technical equipment (mechanical, electrical and electronics)
- Both on-site/mobile facilities and workshop facilities
- Rope access
- Blade repair and inspection by rope access
- Project management",No,POINT (-87.84435 42.15531)
Arup,Not Provided,"Asset Management,Construction Support,Due Diligence,Engineering (Civil),Engineering (Electrical),Engineering (Environmental),Engineering (Mechanical),Engineering (Offshore Wind),Engineering (Structural),Feasibility Studies,Financial Consulting,Grid Connection,Logistics Planning & Management,Project Management,Risk Assessment,Strategic Advisory,Technical Surveys (Analyse),Technical Surveys (Perform),Technical Testing and Validation,Verification and Compliance,Wind Resource and Layout",www.arup.com,USA,New York,New York,77 Water Street,,10005,Cameron,Dunn,cameron.dunn@arup.com,"Arup is an independent firm of designers, planners, engineers, consultants and technical specialists, working across every aspect of today's built environment. Together we help our clients solve their most complex challenges â€“ turning exciting ideas into tangible reality as we strive to find a better way and shape a better world.
We have more than 15years of offshore wind experience in Europe, Canada, Asia and the US.",,POINT (-74.00849 40.70442)
Arvos Ljungstrom LLC.,Manufactured Products,"Anodes,Boat Landings,Offshore Substation Full-Scope EPC,Offshore Substation Topsides,Onshore Substation Full-Scope EPC,Other Manufactured Products,Steel Structures,Switchgear",www.arvos-group.com,USA,New York,Wellsville,3020 Truax Road,,14895,Jude,Auman,jude.auman@ljungstrom.com.,"Arvos Ljungstrom LLC., is an OEM manufacturer of the Rotary Regenerative Air Preheater commonly used in coal fired power plants. Our facility covers a span of 200,000 square feet and we specialize in fabricating and machining large components up to 100 tons. We believe that our 90+ years in heavy steel fabricating will translate into being a go-to source for heavy metal components used in offshore wind applications. For more information, contact Jude Auman (jude.auman@ljungstrom.com) or Greg Goodliff (Gregory.Goodliff@ljungstrom.com).",No,POINT (-77.91737 42.12959)
Arvos Ljungstrom LLC.,Manufacturing and Fabrication Srvcs.,"Blasting,Machining,Manufacturing Company Partnership,Metal Fabrication (General),Other Metal Working,Precision Manufacturing,Welding",www.arvos-group.com,USA,New York,Wellsville,3020 Truax Road,,14895,Jude,Auman,jude.auman@ljungstrom.com.,"Arvos Ljungstrom LLC., is an OEM manufacturer of the Rotary Regenerative Air Preheater commonly used in coal fired power plants. Our facility covers a span of 200,000 square feet and we specialize in fabricating and machining large components up to 100 tons. We believe that our 90+ years in heavy steel fabricating will translate into being a go-to source for heavy metal components used in offshore wind applications. For more information, contact Jude Auman (jude.auman@ljungstrom.com) or Greg Goodliff (Gregory.Goodliff@ljungstrom.com).",No,POINT (-77.91737 42.12959)
Arvos Ljungstrom LLC.,Other Organizations,"Machining of custom fasteners, studs, nuts, threaded components.",www.arvos-group.com,USA,New York,Wellsville,3020 Truax Road,,14895,Jude,Auman,jude.auman@ljungstrom.com.,"Arvos Ljungstrom LLC., is an OEM manufacturer of the Rotary Regenerative Air Preheater commonly used in coal fired power plants. Our facility covers a span of 200,000 square feet and we specialize in fabricating and machining large components up to 100 tons. We believe that our 90+ years in heavy steel fabricating will translate into being a go-to source for heavy metal components used in offshore wind applications. For more information, contact Jude Auman (jude.auman@ljungstrom.com) or Greg Goodliff (Gregory.Goodliff@ljungstrom.com).",No,POINT (-77.91737 42.12959)
"ASA Analysis & Communication, Inc.",Consulting Services,"Consents and Permitting,Engineering (Environmental),Environmental Consulting,Environmental Impact Assessment (EIA),Feasibility Studies,Other Consulting,Regulatory Consulting,Siting and Planning,Technical Surveys (Analyse),Technical Surveys (Perform)",www.asaac.com,USA,NY,Warwick,14 Hidden Meadow Road,,10990,Radhika,N deSilva,rdesilva@asaac.com,"ASA assists clients/projects with water-related studies and permitting throughout the USA. We are headquartered in NY and have been in business since 1995. We are an MWBE.
We assist with pipeline alignment feasibility assessments; impacts on environment and fisheries; SPDES, Army Corps and other environmental permits; bathymetric surveys; benthic surveys; threatened/endangered species evaluations; incidental take permits; water quality monitoring; thermal modeling; and many other water/environmental compliance efforts. High-quality, cost-effective services.",Yes,POINT (-74.40321 41.26873)
"ASA Analysis & Communication, Inc.",Other Organizations,Water/environmental permitting support,www.asaac.com,USA,NY,Warwick,14 Hidden Meadow Road,,10990,Radhika,N deSilva,rdesilva@asaac.com,"ASA assists clients/projects with water-related studies and permitting throughout the USA. We are headquartered in NY and have been in business since 1995. We are an MWBE.
We assist with pipeline alignment feasibility assessments; impacts on environment and fisheries; SPDES, Army Corps and other environmental permits; bathymetric surveys; benthic surveys; threatened/endangered species evaluations; incidental take permits; water quality monitoring; thermal modeling; and many other water/environmental compliance efforts. High-quality, cost-effective services.",Yes,POINT (-74.40321 41.26873)
"ASA Analysis & Communication, Inc.",Specialist Services,"Legal Services,Offshore Wind-related Consulting,Other Specialist Services,Specialist Technical Surveys",www.asaac.com,USA,NY,Warwick,14 Hidden Meadow Road,,10990,Radhika,N deSilva,rdesilva@asaac.com,"ASA assists clients/projects with water-related studies and permitting throughout the USA. We are headquartered in NY and have been in business since 1995. We are an MWBE.
We assist with pipeline alignment feasibility assessments; impacts on environment and fisheries; SPDES, Army Corps and other environmental permits; bathymetric surveys; benthic surveys; threatened/endangered species evaluations; incidental take permits; water quality monitoring; thermal modeling; and many other water/environmental compliance efforts. High-quality, cost-effective services.",Yes,POINT (-74.40321 41.26873)
"Asbestos, Lead & Haz. Waste Laborers LU #78",Labor Organizations,Labor Union (Civil Construction),www.njlaborers.org/node/30,USA,New York,New York,30 Cliff Street,6th Floor,10038,,,,"LIUNA Local 78 representing asbestos, lead and hazardous waste handlers in New York City, Long Island and New Jersey.",,POINT (-74.00512 40.70827)
Ash Contracting Corp.,Onshore Construction Services,"Civil Construction,Grouting Services,HSE Management (Construction),Manufacturing Plant Construction,Marine Terminal Construction,Overwater Civil Construction,Painting (Construction),Project Management (Construction)",www.AshContractingCorp.com,USA,New York,Brooklyn,1641 E 94TH ST,,11236,Praewpan,Ash,p.ash@ashcontractingcorp.com,"Ash Contracting Corp. is a MWDBE certified General Contractor based in Brooklyn, NY. We specialize in all facets of carpentry, concrete, masonry, waterproofing, miscellaneous steel and ornamental metal.",Yes,POINT (-73.89265 40.63274)
"Association Development Group, Inc.",Other Organizations,Not Provided,www.adgcommunications.com,USA,New York,Albany,136 Everett Road,,12205,Joe,Van De Loo,joe@adgcommunications.com,"Association Development Group maintains an open 112 acre port terminal site on the east side of the Hudson river just south of the Port of Albany, and ten mile north of the Port of Coeymans.",Yes,POINT (-73.7695 42.69674)
Atkinson Centre for a Sustainable Future - Cornell University,Other Organizations,University,www.atkinson.cornell.edu/,USA,New York,Ithaca,Cornell University,200 Rice Hall,14853,,,,"The David R. Atkinson Center for a Sustainable Future at Cornell University carries out sustainability research including in areas like agriculture, community, healthcare, computation and new energy/energy transition. Three Cornell professors from the group were chosen to lead the new National Offshore Wind Research and Development Consortium in July 2018, which is funded by the US DoE and lead by NYSERDA and Stone Brook university.",,
Atlantean Technologies,Manufactured Products,"Other Manufactured Products,Security Systems",www.wavekiller.net,USA,New York,Glen Cove,2 Perkins Court,,11542,Destino,Rivera,dmrivera@wavekiller.net,"A new innovation that protects wind ports, coastal infrastructures and the offshore wind industry from disasters and environmental risks in ways never before imagined. Our patented, game-changing, environmentally safe 'Wave Killer' air curtains are not found anywhere else in the world (walls of air bubbles 10, 20, even 30 feet thick that can span for miles on end). By anchoring them to the ocean floor and changing the medium of the water from liquid to gas (air), they can protect entire coastal infrastructures by ""killing"" ocean waves - stopping them from coming ashore during hurricanes, eradicating beach erosion, and among several other world-changing applications, they also stop waves from damaging port AND offshore construction areas - keeping assets and lives safer than ever previously possible. Additionally, concussion waves from pile driving and seismic activity CAN NOT penetrate our perimeters, making marine life and local fishing industries safe (and alleviating public backlash as well). 

Wave Killer is the only system on the planet that provides the vital missing link to dredging and offshore construction waste containment, environmental and marine life safety, protection of all port and offshore project assets, plus protecting the embarkation and disembarkation of transiting structures, their placements offshore, and creating a much safer work environment for all crews installing offshore wind farms.",No,POINT (-73.63165 40.85034)
Atlantean Technologies,Offshore Const./Ops. and Vessels,"Offshore Dredging Services,Vessel Support Services",www.wavekiller.net,USA,New York,Glen Cove,2 Perkins Court,,11542,Destino,Rivera,dmrivera@wavekiller.net,"A new innovation that protects wind ports, coastal infrastructures and the offshore wind industry from disasters and environmental risks in ways never before imagined. Our patented, game-changing, environmentally safe 'Wave Killer' air curtains are not found anywhere else in the world (walls of air bubbles 10, 20, even 30 feet thick that can span for miles on end). By anchoring them to the ocean floor and changing the medium of the water from liquid to gas (air), they can protect entire coastal infrastructures by ""killing"" ocean waves - stopping them from coming ashore during hurricanes, eradicating beach erosion, and among several other world-changing applications, they also stop waves from damaging port AND offshore construction areas - keeping assets and lives safer than ever previously possible. Additionally, concussion waves from pile driving and seismic activity CAN NOT penetrate our perimeters, making marine life and local fishing industries safe (and alleviating public backlash as well). 

Wave Killer is the only system on the planet that provides the vital missing link to dredging and offshore construction waste containment, environmental and marine life safety, protection of all port and offshore project assets, plus protecting the embarkation and disembarkation of transiting structures, their placements offshore, and creating a much safer work environment for all crews installing offshore wind farms.",No,POINT (-73.63165 40.85034)
